                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0538,                 1.7972,                 1.3801,                0.68576,                0.85165,                0.73983,                0.41529,                 1.1414,                 2.6948,                 1.7213,             0.00065823,             0.00065823,             0.00065823
                      2,                 1.1671,                 1.6093,                 1.4705,                 0.8275,                0.81917,                0.86337,                0.42116,                   1.67,                 2.3974,                 2.3141,              0.0013118,              0.0013118,              0.0013118
                      3,                 1.2532,                 1.5366,                 1.5111,                0.54702,                0.56098,                0.55399,                0.30931,                 1.9781,                 2.3401,                 2.5158,              0.0019521,              0.0019521,              0.0019521
                      4,                 1.2451,                 1.4967,                 1.5273,                 0.4701,                0.53659,                0.51624,                0.29635,                 1.7478,                 2.6131,                 2.2427,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2194,                 1.3111,                 1.5032,                0.82095,                0.78049,                0.90968,                0.52089,                 1.2348,                 1.8365,                 2.0179,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.2229,                 1.2578,                  1.519,                0.85224,                0.87805,                0.93786,                0.57614,                 1.0996,                 1.5303,                 1.6758,               0.001901,               0.001901,               0.001901
                      7,                 1.1833,                 1.1466,                 1.4632,                0.82464,                0.80293,                0.91243,                0.45569,                 1.4059,                 1.7425,                 1.9127,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.1587,                 1.0934,                 1.4196,                0.93057,                0.98073,                0.98664,                0.65297,                 1.1368,                0.97458,                 1.7873,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.1273,                 1.0431,                 1.4195,                0.92477,                      1,                0.98598,                0.65274,                 1.1172,                0.99065,                 1.6059,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.1364,                 1.0927,                 1.4567,                 0.8925,                0.70732,                0.86943,                0.57269,                 1.0931,                 1.2068,                 1.6175,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.0819,                0.99839,                 1.4139,                0.88804,                0.96744,                0.93394,                0.53898,                 1.1544,                0.91895,                  1.725,               0.001802,               0.001802,               0.001802
                     12,                 1.0553,                 0.9302,                 1.3801,                0.96719,                      1,                0.99286,                0.65451,                 1.0182,                0.84292,                 1.6017,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.061,                0.89557,                 1.3904,                0.95219,                0.97164,                0.98572,                0.67759,                0.97639,                0.76052,                 1.5379,              0.0017624,              0.0017624,              0.0017624
                     14,                0.99672,                0.88297,                 1.3235,                      1,                0.97293,                0.99364,                0.69306,                 0.9781,                 0.7184,                 1.5771,              0.0017426,              0.0017426,              0.0017426
                     15,                0.98639,                0.84037,                 1.3173,                0.96595,                0.97561,                0.98937,                0.65165,                 1.0568,                 0.7721,                 1.5004,              0.0017228,              0.0017228,              0.0017228
